zone	r	T	rho	kap
3.71000E+02	4.64400E+08	1.69400E+06	1.47700E+02	8.23400E-01
3.72000E+02	4.57100E+08	1.77100E+06	1.72900E+02	8.03200E-01
3.73000E+02	4.49700E+08	1.85200E+06	2.02000E+02	7.84500E-01
3.74000E+02	4.42300E+08	1.93500E+06	2.35600E+02	7.66500E-01
3.75000E+02	4.34900E+08	2.02000E+06	2.74200E+02	7.49100E-01
3.76000E+02	4.27600E+08	2.10900E+06	3.18700E+02	7.32200E-01
3.77000E+02	4.20200E+08	2.20100E+06	3.69800E+02	7.15900E-01
3.78000E+02	4.12800E+08	2.29600E+06	4.28500E+02	7.00000E-01
3.79000E+02	4.05400E+08	2.39400E+06	4.95700E+02	6.84500E-01
3.80000E+02	3.98100E+08	2.49500E+06	5.72800E+02	6.69500E-01
3.81000E+02	3.90700E+08	2.60100E+06	6.61100E+02	6.54800E-01
3.82000E+02	3.83300E+08	2.71000E+06	7.62200E+02	6.40500E-01
3.83000E+02	3.76000E+08	2.82300E+06	8.77700E+02	6.26500E-01
3.84000E+02	3.68600E+08	2.94000E+06	1.01000E+03	6.12800E-01
3.85000E+02	3.61200E+08	3.06200E+06	1.16000E+03	5.99300E-01
3.86000E+02	3.53800E+08	3.18800E+06	1.33300E+03	5.86100E-01
3.87000E+02	3.46500E+08	3.31900E+06	1.52900E+03	5.73200E-01
3.88000E+02	3.39100E+08	3.45500E+06	1.75200E+03	5.60400E-01
3.89000E+02	3.31700E+08	3.59600E+06	2.00700E+03	5.47800E-01
3.90000E+02	3.24400E+08	3.74200E+06	2.29600E+03	5.35300E-01
3.91000E+02	3.17000E+08	3.89500E+06	2.62500E+03	5.23000E-01
3.92000E+02	3.09600E+08	4.05300E+06	2.99900E+03	5.10900E-01
3.93000E+02	3.02200E+08	4.21700E+06	3.42200E+03	4.98800E-01
3.94000E+02	2.94900E+08	4.38800E+06	3.90200E+03	4.86800E-01
3.95000E+02	2.87500E+08	4.56500E+06	4.44500E+03	4.74900E-01
3.96000E+02	2.80100E+08	4.75000E+06	5.05700E+03	4.63000E-01
3.97000E+02	2.72800E+08	4.94100E+06	5.74800E+03	4.51200E-01
3.98000E+02	2.65400E+08	5.14000E+06	6.52400E+03	4.39500E-01
3.99000E+02	2.58000E+08	5.34700E+06	7.39600E+03	4.27700E-01
4.00000E+02	2.50600E+08	5.56200E+06	8.37200E+03	4.15900E-01
4.01000E+02	2.43300E+08	5.78400E+06	9.46200E+03	4.04200E-01
4.02000E+02	2.35900E+08	6.01600E+06	1.06800E+04	3.92400E-01
4.03000E+02	2.28500E+08	6.25500E+06	1.20200E+04	3.80600E-01
4.04000E+02	2.21200E+08	6.50400E+06	1.35100E+04	3.68800E-01
4.05000E+02	2.13800E+08	6.76100E+06	1.51500E+04	3.57000E-01
4.06000E+02	2.06400E+08	7.02700E+06	1.69400E+04	3.45100E-01
4.07000E+02	1.99000E+08	7.30200E+06	1.89000E+04	3.33300E-01
4.08000E+02	1.91700E+08	7.58500E+06	2.10200E+04	3.21500E-01
4.09000E+02	1.84300E+08	7.87700E+06	2.33100E+04	3.09800E-01
4.10000E+02	1.76900E+08	8.17800E+06	2.57600E+04	2.98100E-01
4.11000E+02	1.69600E+08	8.48600E+06	2.83700E+04	2.86600E-01
4.12000E+02	1.62200E+08	8.80100E+06	3.11200E+04	2.75200E-01
4.13000E+02	1.54800E+08	9.12300E+06	3.40100E+04	2.64000E-01
4.14000E+02	1.47400E+08	9.45000E+06	3.70100E+04	2.53000E-01
4.15000E+02	1.40100E+08	9.78100E+06	4.01100E+04	2.42300E-01
4.16000E+02	1.32700E+08	1.01200E+07	4.32700E+04	2.32000E-01
4.17000E+02	1.25300E+08	1.04500E+07	4.64600E+04	2.22100E-01
4.18000E+02	1.17900E+08	1.07900E+07	4.96600E+04	2.12600E-01
4.19000E+02	1.10600E+08	1.11200E+07	5.28300E+04	2.03600E-01
4.20000E+02	1.03200E+08	1.14500E+07	5.59300E+04	1.95100E-01
4.21000E+02	9.58300E+07	1.17700E+07	5.89300E+04	1.87000E-01
4.22000E+02	8.84600E+07	1.20900E+07	6.17800E+04	1.79500E-01
4.23000E+02	8.10900E+07	1.23900E+07	6.44600E+04	1.72400E-01
4.24000E+02	7.37200E+07	1.26900E+07	6.69200E+04	1.65700E-01
4.25000E+02	6.63500E+07	1.29700E+07	6.91300E+04	1.59600E-01
4.26000E+02	5.89700E+07	1.32300E+07	7.10400E+04	1.53500E-01
4.27000E+02	5.16000E+07	1.34700E+07	7.26900E+04	1.48100E-01
4.28000E+02	4.42300E+07	1.36900E+07	7.40000E+04	1.42800E-01
4.29000E+02	3.68600E+07	1.39000E+07	7.49200E+04	1.37300E-01
4.30000E+02	2.94900E+07	1.41200E+07	7.53100E+04	1.30700E-01
4.31000E+02	2.21200E+07	1.43900E+07	7.48000E+04	1.20900E-01
4.32000E+02	1.47400E+07	1.49400E+07	7.20200E+04	1.00700E-01
4.33000E+02	0.00000E+00	1.54200E+07	7.40500E+04	1.06800E-01
